date,ticker,open,high,low,close,volume,amount,pct_change
2023-01-06,000300.SH,3969.55,4000.41,3966.47,3980.89,110953038,235744305582.2,0.31
2023-01-09,000300.SH,3998.53,4023.09,3990.71,4013.12,117054425,233212426458.1,0.81
2023-01-10,000300.SH,4014.71,4030.46,4002.23,4017.47,101751141,214871166239.5,0.11
2023-01-11,000300.SH,4019.88,4043.4,4008.02,4010.03,99997889,203000262960.6,-0.19
2023-01-12,000300.SH,4021.75,4030.29,4003.51,4017.87,90552627,183686268106.8,0.2
2023-01-13,000300.SH,4032.29,4074.38,4027.89,4074.38,95871896,212173997498.4,1.41
2023-01-16,000300.SH,4077.88,4177.1,4076.64,4137.96,151395455,319007749371.3,1.56
2023-01-17,000300.SH,4138.84,4148.58,4118.16,4137.24,95479040,204381576523.4,-0.02
2023-01-18,000300.SH,4140.1,4151.46,4125.77,4130.31,84200645,172126171819.2,-0.17
2023-01-19,000300.SH,4125.58,4156.01,4105.98,4156.01,94608398,192699589774.1,0.62
2023-01-20,000300.SH,4166.84,4189.83,4161.67,4181.53,123553809,222342455100.7,0.61
2023-01-30,000300.SH,4267.62,4268.15,4197.86,4201.35,164607064,330193322092.2,0.47
2023-01-31,000300.SH,4200.58,4212.73,4153.05,4156.86,124550835,249365321627.1,-1.06
2023-02-01,000300.SH,4170.13,4195.93,4137.77,4195.93,141008954,265553944709.3,0.94
2023-02-02,000300.SH,4207.41,4207.41,4170.56,4181.15,133823736,262497434837.0,-0.35
2023-02-03,000300.SH,4162.03,4162.03,4103.17,4141.63,117041221,226914770043.9,-0.95
2023-02-06,000300.SH,4103.83,4105.94,4065.22,4086.88,110192717,226345113968.7,-1.32
2023-02-07,000300.SH,4098.31,4107.34,4077.96,4094.23,91360072,183537351577.1,0.18
2023-02-08,000300.SH,4099.86,4111.47,4072.65,4076.14,84786099,170591751817.3,-0.44
2023-02-09,000300.SH,4067.56,4130.86,4064.75,4130.86,102289961,211722604859.2,1.34
2023-02-10,000300.SH,4124.1,4125.29,4092.35,4106.31,96716733,195348320573.4,-0.59
2023-02-13,000300.SH,4098.88,4146.45,4092.27,4143.57,128892577,251990181553.9,0.91
2023-02-14,000300.SH,4151.25,4152.05,4125.26,4145.29,102499890,204915435749.9,0.04
2023-02-15,000300.SH,4146.85,4153.72,4115.97,4123.69,121664508,219855528966.4,-0.52
2023-02-16,000300.SH,4125.41,4167.9,4068.86,4093.49,159310585,281315625588.6,-0.73
2023-02-17,000300.SH,4086.22,4104.64,4032.93,4034.51,116142589,225737746955.0,-1.44
2023-02-20,000300.SH,4039.96,4134.86,4035.48,4133.49,161794481,280122962150.4,2.45
2023-02-21,000300.SH,4130.06,4151.8,4116.27,4144.35,145776173,249674201048.2,0.26
2023-02-22,000300.SH,4118.97,4134.88,4101.86,4106.95,104290295,191586158991.2,-0.9
2023-02-23,000300.SH,4106.21,4132.39,4088.21,4103.65,103564906,197193582430.1,-0.08
2023-02-24,000300.SH,4100.99,4102.61,4048.24,4061.05,100989425,191210465053.2,-1.04
2023-02-27,000300.SH,4040.46,4067.03,4034.52,4043.84,93787630,187959491145.3,-0.42
2023-02-28,000300.SH,4058.13,4074.26,4026.45,4069.46,110323591,198799712379.1,0.63
2023-03-01,000300.SH,4068.73,4135.48,4061.22,4126.94,156015794,255374791015.7,1.41
2023-03-02,000300.SH,4119.99,4137.25,4113.83,4117.74,148217637,235953764969.5,-0.22
2023-03-03,000300.SH,4126.02,4135.21,4100.38,4130.55,160331741,226914545628.4,0.31
2023-03-06,000300.SH,4131.15,4132.84,4088.45,4109.01,162971807,283079861971.5,-0.52
2023-03-07,000300.SH,4103.64,4124.96,4046.57,4048.85,195912068,272491994009.2,-1.46
2023-03-08,000300.SH,4030.74,4037.29,4011.52,4034.11,117936493,191659655190.9,-0.36
2023-03-09,000300.SH,4035.84,4043.85,4000.89,4019.85,116539629,201737990686.8,-0.35
2023-03-10,000300.SH,3991.8,4004.36,3966.43,3967.14,123855409,218286956131.0,-1.31
2023-03-13,000300.SH,3962.64,4008.69,3962.64,4008.69,143561370,242865516757.6,1.05
2023-03-14,000300.SH,3999.88,4001.94,3946.94,3984.7,150544174,267224848810.5,-0.6
2023-03-15,000300.SH,4011.84,4018.75,3986.9,3986.9,142026007,232101093978.6,0.06
2023-03-16,000300.SH,3958.2,3981.32,3936.48,3939.15,152515644,246264286428.0,-1.2
2023-03-17,000300.SH,3971.16,4004.22,3945.25,3958.82,177433818,305541015556.1,0.5
2023-03-20,000300.SH,3962.66,3979.55,3935.02,3939.08,205264970,319760032638.0,-0.5
2023-03-21,000300.SH,3948.16,3982.7,3948.16,3982.38,145090679,251631985016.9,1.1
