date,momentum_60,reversal_20,volatility_20,liquidity_20
2021-11-16,-0.05479509007181479,0.10263796740790916,0.34065614011283185,0.1371339771687158
2021-11-17,0.09946540421582864,0.17098577862116285,0.07248742106202273,-0.003570318577787386
2021-11-18,-0.1014978268338761,0.18948817097555426,-0.05174503004873512,-0.00705828362133609
2021-11-19,-0.010955829278661972,-0.11391844200237286,0.30674185344987265,0.23108395348914448
2021-11-22,-0.134720224542325,0.19005006397601243,-0.1376272566170782,-0.2568474203878405
2021-11-23,-0.13360059662088017,0.1447233701092265,-0.07016682762669603,-0.1627110166323131
2021-11-24,-0.07865755111541327,0.07242138078577923,-0.135893682864429,-0.10703455476841538
2021-11-25,-0.1368880560002926,0.10136487230842967,0.07195249248904315,0.0975246881400452
2021-11-26,0.16873987654238323,-0.006933182003916666,0.08082885557022264,0.10682697893592802
2021-11-29,-0.13842921650889023,0.05435046706824537,-0.03371979781024079,-0.12273405969457939
2021-11-30,-0.05608353327248834,0.10997402459113653,-0.26112569498624355,-0.18201237674014523
2021-12-01,-0.08204232913744323,-0.04849082348659371,-0.1533221305026754,0.012720231064061035
2021-12-02,0.15169784952788326,0.04600648418859064,0.043716634189552454,-0.04279292027342065
2021-12-03,-0.26640218379462893,0.09910764242552297,-0.23854433694894506,-0.057741213239813155
2021-12-06,-0.19513250430283785,0.20401615804069334,-0.2959854843751698,-0.18850825506891042
2021-12-07,0.17506515759491062,0.16592294809707683,0.3639722700463962,0.3191733573311929
2021-12-08,-0.11044174290738736,0.19685261680016192,-0.27205985617282585,-0.015232740664089282
2021-12-09,-0.013665145345246026,0.23730548661482068,0.09458334359772887,0.09065846429426375
2021-12-10,-0.10122039268151828,-0.225192812072805,0.12008438170151821,0.18779691822016184
2021-12-13,0.23800267163495498,0.09978339987542025,-0.04572234452012394,-0.04131282788524284
2021-12-14,-0.09861454359840684,-0.17014783214238696,-0.10284418075554363,-0.17899851481028856
2021-12-15,-0.2525379077309037,-0.03880403134936077,0.07109384938563362,0.033558582186347885
2021-12-16,-0.2791402807578918,-0.062432331408261016,-0.30435375431940265,-0.37690768059632684
2021-12-17,0.08215209680264084,-0.020997509049658688,-0.30805701323355217,-0.2538593090700836
2021-12-20,0.08500804866693502,-0.014664046721308402,0.09018052791185745,-0.045731624662193646
2021-12-21,0.20062868527538832,0.13836476658815025,0.09035394718176216,-0.09075660509471183
2021-12-22,0.12865039416014543,-0.2730360357623215,0.11235978034028742,0.14281027179010528
2021-12-23,0.27475687341653016,-0.08604886848937396,-0.15789640114544184,-0.21768212017228047
2021-12-24,-0.06254244168886261,-0.01827128489664946,-0.05905811236697301,-0.09857534351849756
2021-12-27,-0.1609187430135297,0.41280331320010333,-0.03319786007949253,0.14216760670238274
2021-12-28,-0.19014440235693658,0.2060211847499967,-0.13232295765044957,-0.31459265044256
2021-12-29,0.14967679999496314,-0.023460213506088276,0.13072616252446598,0.06012204695821628
2021-12-30,-0.042725731835525214,-0.03388980364005091,0.0344509815031008,-0.020033155015358413
2021-12-31,-0.06604249412983264,-0.14243913062881264,-0.3809090456365653,-0.2662018386804271
2022-01-04,-0.2791843940775642,-0.14116099962429013,-0.5267891312473639,-0.2620087879559031
2022-01-05,-0.07335193705151496,0.10136276769169111,0.09390339086548373,-0.07321597196525494
2022-01-06,-0.1969355132545206,-0.2429785301368654,-0.4969497781880763,-0.19430597605302483
2022-01-07,-0.07192789950698604,-0.09524225481656814,-0.05123081616692407,-0.14010960782485357
2022-01-10,-0.07395894804213221,-0.13856283053504978,-0.29549076508802896,-0.2200510133172159
2022-01-11,-0.3317180642707366,0.6032744992034452,0.26417438911956576,0.19696853069663034
2022-01-12,-0.207430583447029,-0.24271774451918599,-0.449630084575661,-0.3012377947168478
2022-01-13,0.014416130475465009,0.28443420690793497,0.3147238382868014,0.07204200575511746
2022-01-14,0.14787804512797517,0.19251238832454565,0.2711289882294655,0.11468198811665076
2022-01-17,-0.049177775021732886,-0.0029802002524639197,-0.06703869491200888,0.014330258441313722
2022-01-18,0.096719715886004,-0.21456513207090022,-0.3551141437518049,-0.21152596615563643
2022-01-19,0.12867182813518058,-0.2956162311363234,-0.2852846288617374,0.05109511325581449
2022-01-20,-0.1629548073860607,0.048074569385749034,-0.20711995133352432,-0.13328583468645877
2022-01-21,-0.12484479285915942,0.281117203871424,0.3470423518591779,0.24247404705568898
2022-01-24,-0.05104429973023089,-0.1457797748076424,-0.1061943680562195,-0.06175547673783757
2022-01-25,-0.03209384601834019,0.15688667961321517,0.08292937205191234,0.04953570428182973
2022-01-26,0.2031979387248938,-0.18868115794921633,-0.21220763283418578,-0.13529230332132808
2022-01-27,0.05031771579520597,0.031097597879959613,-0.2280296684033975,-0.26577196308116596
2022-01-28,0.10763033673165485,-0.2160766867035282,0.018191669845012234,0.0025924412530962354
2022-02-07,0.3144043207540534,-0.2962657499895325,-0.35986146165093685,-0.2464409316672098
2022-02-08,-0.1960538384263008,0.26030775681238755,0.1863832207973932,0.14378100242917152
2022-02-09,0.42558924658330866,-0.41680386429616717,-0.1759701349957548,-0.09484037392909235
2022-02-10,0.2791228019969578,-0.32129661349760413,-0.2732141781137536,0.016676520039370517
2022-02-11,-0.3205205175319494,0.2683794118684862,0.16946885489802474,0.039130136481312236
2022-02-14,-0.6303620934825473,0.5888465234991701,0.36944616823858656,0.116770986094678
2022-02-15,0.11108772521629634,-0.0166126480021844,-0.14131229481762697,-0.017142916505537224
2022-02-16,-0.16580041210960753,0.0991119505281169,0.2937403056149163,0.2552375947419135
2022-02-17,0.3929736245315611,-0.18027429645094525,-0.14010216448594512,-0.02827271487442283
2022-02-18,-0.059203370968617,0.11105131938772651,-0.09520449450996654,-0.18076606325418323
2022-02-21,0.013445133769025005,-0.17301692317442238,0.15333257499732753,-0.02179956856898639
2022-02-22,-0.6999368462806352,0.6001411467914759,0.25626265628847433,0.09164265281163436
2022-02-23,0.06567103133518166,-0.1745988123550599,0.07779384643518887,-0.028995911533384894
2022-02-24,-0.3969119661676621,0.28676927649522277,0.12095859714699217,0.07526903804474644
2022-02-25,0.07895106299722865,-0.32527800045993116,0.2276612498489415,0.11826717672771775
2022-02-28,-0.04219554355674476,0.19277004295109376,-0.11633705045957705,0.0798681150462862
2022-03-01,0.3889804202206556,-0.244233432786691,-0.1662705862650778,-0.2288265783298971
2022-03-02,0.5782139292786118,-0.28113579668492183,-0.33155948872767343,-0.16552250665017365
2022-03-03,0.09986682557644481,-0.06810766990564895,0.026255782517468167,-0.17324019378155406
2022-03-04,0.4264565480105684,-0.4498446738531669,-0.09148601544365459,-0.0662569222262654
2022-03-07,-0.1257546708400086,0.049424673249685594,0.0825739406140031,0.03190306034197794
2022-03-08,0.07845752556576775,-0.15891254029731847,0.142745774073158,0.17450924628316786
2022-03-09,-0.28364053922185506,0.08805999152410611,0.2033884496445767,0.06880177817687985
2022-03-10,-0.0528365120128626,0.18385735359447541,-0.15565909393248314,-0.18201899326061274
2022-03-11,0.04962238261047835,-0.04016106355040616,-0.3554641496714667,-0.20144185083209473
2022-03-14,-0.18972199038915125,-0.16330622671361122,0.061483739837398375,0.03633663084882597
2022-03-15,-0.14762400374584816,0.0869831388124071,0.13024424762229642,0.23067125963467427
2022-03-16,-0.3555366804114038,0.4501477578466288,0.1432594743140527,0.06256946572271938
2022-03-17,0.32098933108218924,0.08057299669772644,-0.0874566424995637,-0.016249576768010945
2022-03-18,-0.0128036864467369,-0.1395790245573797,0.11450811721926286,0.11338141757184297
2022-03-21,0.2724755716011651,0.11135742256191754,-0.1929446068332552,-0.03269162630275951
2022-03-22,-0.3591848075613793,0.18100696424145413,-0.04098511315718763,0.008012127384111866
2022-03-23,0.3206240722791358,-0.2202704680319941,0.021394079763977992,0.07835883119058419
2022-03-24,0.2531196079467815,-0.0025152967353657112,-0.33365220834126513,-0.2670925327318974
2022-03-25,0.2653645099019837,-0.3001834948243169,-0.19233994621252704,-0.1174320933574073
2022-03-28,0.48295351753905885,-0.3870625420747651,0.04241636957986573,0.026308322002035967
2022-03-29,-0.5294548212376676,0.48975139250903404,0.13336038968296884,0.1570887571356864
2022-03-30,0.36595318082027245,-0.3151445499705844,-0.22765533100722055,-0.20993645818559592
2022-03-31,0.0708203978817482,-0.019480729619840105,-0.022619646953701923,-0.06253950773398714
2022-04-01,0.3739044563052167,-0.18752687233272397,-0.311541891904557,-0.2314693220133925
2022-04-06,0.1098923657368554,-0.08489849851734699,-0.03827133906253374,0.14113147983120636
2022-04-07,0.31586609834516616,-0.20520755079157546,-0.050466320114438586,-0.028581303208711356
2022-04-08,0.5384019242432881,-0.5128245310530292,-0.1957003202189338,-0.150257701220474
2022-04-11,-0.2573956066668206,0.15597039096440035,0.06470965076808605,-0.06541982540310613
2022-04-12,0.27585530308071193,-0.20969555880909468,-0.044311954025460676,0.10134730320710496
2022-04-13,-0.2533387513012347,0.03474543271420292,0.35729550013403927,0.06698446103997512
2022-04-14,0.0021537205544402984,0.049866083197100404,-0.09887412186929193,0.013719469503708297
2022-04-15,-0.410784519050034,0.5559578457402793,0.2062806885001007,-0.17610613590127097
2022-04-18,0.3159427044392392,-0.23564840022790243,-0.2693859117773924,-0.09793748272714761
2022-04-19,-0.2336869860119466,0.0646226943589655,-0.09195660409302711,-0.27814048215709475
2022-04-20,0.19560627432199199,-0.26696643483959215,-0.2105116481646918,-0.07871502416031334
2022-04-21,0.40354690748279937,-0.45488510214643624,-0.15470856940702937,0.0037762212026429525
2022-04-22,0.37653480692769054,-0.5070945314847755,-0.21689032512203243,-0.09201723073674294
2022-04-25,0.22341085094531252,-0.2620160764280576,-0.054222790760304805,0.19650526786031675
2022-04-26,-0.3942409525009744,0.5315605620704889,0.4582594530771918,0.10057681169279765
2022-04-27,0.1676047319662085,-0.19662850557840544,0.04369152899480042,0.1833002502989132
2022-04-28,-0.654546519601079,0.5428645288020801,0.34445281038513537,-0.09199911115003408
