,oos_daily_return
2023-10-10,1.0393003955390305
2023-10-11,1.0395625824404013
2023-10-12,1.0487054292240328
2023-10-13,1.0402382012940303
2023-10-16,1.0288732230683324
2023-10-17,1.0324244868019588
2023-10-18,1.019050957716351
2023-10-19,1.0043399620291606
2023-10-20,0.9966460069620396
2023-10-23,0.9825423101109911
2023-10-24,0.9901105623994906
2023-10-25,0.9986502848167799
2023-10-26,1.0032307025208924
2023-10-27,1.01881513913487
2023-10-30,1.025056539640194
2023-10-31,1.0239669848311612
2023-11-01,1.0196363991301953
2023-11-02,1.0162136261082582
2023-11-03,1.0197546477375314
2023-11-06,1.0303282767807973
2023-11-07,1.0282953940516562
2023-11-08,1.0215417999140775
2023-11-09,1.0240740437629727
2023-11-10,1.0185226420607103
2023-11-13,1.0193501845158384
2023-11-14,1.021209341267537
2023-11-15,1.0243862408510445
2023-11-16,1.016868260251463
2023-11-17,1.015870928253472
2023-11-20,1.0192102731812336
2023-11-21,1.0216968419206807
2023-11-22,1.0137856118934014
2023-11-23,1.0179117657883776
2023-11-24,1.012891427609231
2023-11-27,1.0094185062417442
2023-11-28,1.0099884611060652
2023-11-29,1.0006331589177617
2023-11-30,1.0027585212631618
2023-12-01,1.0000974275900905
2023-12-04,0.9995916834739464
2023-12-05,0.9844682465305791
2023-12-06,0.9829647810498207
2023-12-07,0.9832854761722235
2023-12-08,0.9872032234822271
2023-12-11,0.9912530122122204
2023-12-12,0.9947435430998237
2023-12-13,0.9813886233511653
2023-12-14,0.9789716412589335
2023-12-15,0.9744115041220897
2023-12-18,0.9688447719550902
2023-12-19,0.966571754180684
2023-12-20,0.9602476483460557
2023-12-21,0.9654859988063
2023-12-22,0.9693276413569467
2023-12-25,0.9739962783741791
2023-12-26,0.974398597454936
2023-12-27,0.979023727453907
2023-12-28,0.9939571714277137
2023-12-29,0.9924966750484311
2024-01-02,0.9924966750484311
2024-01-03,0.9924966750484311
2024-01-04,0.9924966750484311
2024-01-05,0.9924966750484311
2024-01-08,0.9924966750484311
2024-01-09,0.9924966750484311
2024-01-10,0.9924966750484311
2024-01-11,0.9924966750484311
2024-01-12,0.9924966750484311
2024-01-15,0.9924966750484311
2024-01-16,0.9924966750484311
2024-01-17,0.9924966750484311
2024-01-18,0.9924966750484311
2024-01-19,0.9924966750484311
2024-01-22,0.9924966750484311
2024-01-23,0.9924966750484311
2024-01-24,0.9924966750484311
2024-01-25,0.9924966750484311
2024-01-26,0.9924966750484311
2024-01-29,0.9924966750484311
2024-01-30,0.9924966750484311
2024-01-31,0.9924966750484311
2024-02-01,0.9917026777083923
2024-02-02,0.9736471739312619
2024-02-05,0.9740910726453903
2024-02-06,1.0122184923101836
2024-02-07,1.0259063204251087
2024-02-08,1.036728125856327
2024-02-19,1.0437879860922663
2024-02-20,1.048437737412002
2024-02-21,1.0536732852107533
2024-02-22,1.0656875088089568
2024-02-23,1.068449067493273
2024-02-26,1.0604033172920457
2024-02-27,1.0762316782502979
2024-02-28,1.0554670086551048
2024-02-29,1.0830509032355786
2024-03-01,1.0848740633181617
2024-03-04,1.0838692780542514
2024-03-05,1.0890801627764675
2024-03-06,1.0855806393451457
2024-03-07,1.085700481954278
2024-03-08,1.0887449697471994
2024-03-11,1.0929812330539823
2024-03-12,1.0900508261736805
2024-03-13,1.084805310518131
2024-03-14,1.0821778312531625
2024-03-15,1.0897857139129592
2024-03-18,1.1001362072076122
2024-03-19,1.0959788167658475
2024-03-20,1.0965132743684851
2024-03-21,1.0958879625534297
2024-03-22,1.0808040102964747
2024-03-25,1.0806373777486706
2024-03-26,1.0891316495387957
